side,team,player,minute,xG,result,situation,shotType,x,y
h,,Hugo Ekitike,38,0.534849226474762,MissedShots,OpenPlay,Head,0.9419999694824219,0.4829999923706055
a,,Antoine Semenyo,63,0.42599424719810486,Goal,OpenPlay,LeftFoot,0.9080000305175782,0.5129999923706055
h,,Hugo Ekitike,36,0.40409132838249207,Goal,OpenPlay,RightFoot,0.8909999847412109,0.524000015258789
a,,Marcus Tavernier,34,0.35100075602531433,SavedShot,OpenPlay,RightFoot,0.87,0.5209999847412109
a,,Antoine Semenyo,5,0.3169209659099579,MissedShots,OpenPlay,RightFoot,0.9080000305175782,0.44400001525878907
h,,Virgil van Dijk,4,0.25797542929649353,MissedShots,FromCorner,Head,0.914000015258789,0.505
h,,Mohamed Salah,93,0.13890482485294342,Goal,OpenPlay,RightFoot,0.899000015258789,0.6129999923706054
h,,Hugo Ekitike,46,0.1347046047449112,MissedShots,FromCorner,OtherBodyPart,0.960999984741211,0.5209999847412109
h,,Mohamed Salah,47,0.11337560415267944,BlockedShot,OpenPlay,LeftFoot,0.85,0.42700000762939455
h,,Florian Wirtz,62,0.11103862524032593,MissedShots,OpenPlay,RightFoot,0.84,0.45799999237060546
h,,Federico Chiesa,87,0.09901324659585953,Goal,OpenPlay,RightFoot,0.8980000305175782,0.534000015258789
a,,Evanilson,48,0.09731415659189224,MissedShots,OpenPlay,LeftFoot,0.8769999694824219,0.6559999847412109
h,,Cody Gakpo,48,0.0957067683339119,Goal,OpenPlay,RightFoot,0.850999984741211,0.49200000762939455
a,,Antoine Semenyo,75,0.09559009969234467,Goal,OpenPlay,LeftFoot,0.825,0.4829999923706055
h,,Dominik Szoboszlai,79,0.09390604496002197,MissedShots,OpenPlay,LeftFoot,0.855,0.4420000076293945
h,,Virgil van Dijk,30,0.0776621475815773,SavedShot,FromCorner,Head,0.9119999694824219,0.5320000076293945
a,,David Brooks,70,0.07709097117185593,BlockedShot,OpenPlay,LeftFoot,0.8959999847412109,0.63
a,,Evanilson,9,0.071727454662323,MissedShots,FromCorner,Head,0.9490000152587891,0.4109999847412109
h,,Cody Gakpo,87,0.07005230337381363,MissedShots,SetPiece,RightFoot,0.909000015258789,0.624000015258789
a,,Evanilson,70,0.05321967601776123,MissedShots,OpenPlay,Head,0.9119999694824219,0.595
h,,Dominik Szoboszlai,80,0.05117299035191536,SavedShot,OpenPlay,RightFoot,0.865,0.33599998474121096
a,,Marcus Tavernier,46,0.045542508363723755,BlockedShot,DirectFreekick,LeftFoot,0.75,0.315
h,,Mohamed Salah,3,0.04265604913234711,SavedShot,OpenPlay,LeftFoot,0.855999984741211,0.3129999923706055
a,,David Brooks,41,0.038630276918411255,BlockedShot,OpenPlay,RightFoot,0.855,0.685
h,,Cody Gakpo,69,0.03299751132726669,SavedShot,OpenPlay,RightFoot,0.8519999694824218,0.7609999847412109
h,,Alexis Mac Allister,51,0.027150798588991165,SavedShot,OpenPlay,RightFoot,0.76,0.34799999237060547
h,,Jeremie Frimpong,52,0.015647554770112038,BlockedShot,FromCorner,RightFoot,0.754000015258789,0.37200000762939456
h,,Hugo Ekitike,2,0.014601008035242558,SavedShot,OpenPlay,RightFoot,0.7619999694824219,0.6990000152587891
h,,Dominik Szoboszlai,53,0.014567305333912373,MissedShots,OpenPlay,RightFoot,0.7090000152587891,0.5570000076293945
